iter	Passed	Remaining
533	36660	4531
534	36732	4462
535	36797	4393
536	36851	4323
537	36921	4254
538	36975	4184
539	37022	4113
540	37091	4045
541	37140	3974
542	37213	3906
543	37259	3835
544	37303	3764
545	37375	3696
546	37430	3626
547	37482	3556
548	37559	3489
549	37614	3419
550	37704	3353
551	37762	3283
552	37815	3213
553	37893	3146
554	37950	3077
555	38036	3010
556	38089	2940
557	38146	2871
558	38221	2803
559	38278	2734
560	38360	2666
561	38422	2597
562	38478	2528
563	38563	2461
564	38616	2392
565	38692	2324
566	38746	2255
567	38802	2186
568	38883	2118
569	38929	2048
570	38976	1979
571	39050	1911
572	39100	1842
573	39148	1773
574	39219	1705
575	39268	1636
576	39320	1567
577	39399	1499
578	39455	1431
579	39527	1363
580	39586	1294
581	39648	1226
582	39729	1158
583	39780	1089
584	39860	1022
585	39910	953
586	39971	885
587	40089	818
588	40130	749
589	40172	680
590	40232	612
591	40287	544
592	40340	476
593	40411	408
594	40451	339
595	40491	271
596	40526	203
597	40592	135
598	40632	67
599	40686	0
